MsgType,Timestamp,Open,High,Close,Low,Volume,Dividends,StockSplits,StreamID,SeqNo
B,1754935370895,220.43,221.01,220.01,220.43,1788080,0,0,1,1
B,1754935370895,220.44,220.74,220.14,220.26,227798,0,0,2,2
B,1754935370895,220.235,220.26,219.49,219.54,379719,0,0,3,3
B,1754935370895,219.54,219.58,219.25,219.34,230214,0,0,4,4
B,1754935370895,219.34,219.83,219.3,219.81,298128,0,0,5,5
B,1754935370895,219.82,219.975,219.64,219.956,339720,0,0,6,6
B,1754935370895,219.955,219.97,219.565,219.738,238259,0,0,7,7
B,1754935370895,219.765,219.92,219.51,219.685,181181,0,0,8,8
B,1754935370895,219.7,219.71,219.39,219.49,192557,0,0,9,9
B,1754935370895,219.485,219.8,219.48,219.794,218088,0,0,10,10
B,1754935370895,219.798,219.95,219.699,219.85,230725,0,0,11,11
B,1754935370895,219.83,220.21,219.83,220.13,207999,0,0,12,12
B,1754935370895,220.153,220.3,220.132,220.3,202044,0,0,13,13
B,1754935370896,220.29,220.47,220.26,220.36,224456,0,0,14,14
B,1754935370896,220.34,220.525,220.21,220.385,204170,0,0,15,15
B,1754935370896,220.582,220.63,220.38,220.582,158140,0,0,16,16
B,1754935370896,220.595,220.7,220.46,220.661,154909,0,0,17,17
B,1754935370896,220.65,221,220.64,220.84,217746,0,0,18,18
B,1754935370896,220.855,220.876,220.52,220.52,180559,0,0,19,19
B,1754935370896,220.54,220.64,220.339,220.565,183618,0,0,20,20
B,1754935370896,220.575,220.635,220.417,220.561,129791,0,0,21,21
B,1754935370896,220.572,220.62,220.409,220.409,105540,0,0,22,22
B,1754935370896,220.42,220.575,220.38,220.51,99520,0,0,23,23
B,1754935370896,220.5,220.81,220.5,220.78,121042,0,0,24,24
B,1754935370896,220.79,220.99,220.79,220.93,190045,0,0,25,25
B,1754935370896,220.92,221.53,220.91,221.46,395056,0,0,26,26
B,1754935370896,221.47,221.79,221.47,221.78,355307,0,0,27,27
